pokemonId,dexNumber,name,speciesName,identifier,formIdentifier,isDefaultForm,sprite,ocrAliases
135,135,Jolteon,Jolteon,jolteon,,True,135.png,Jolteon | jolteon
136,136,Flareon,Flareon,flareon,,True,136.png,Flareon | flareon
137,137,Porygon,Porygon,porygon,,True,137.png,Porygon | porygon
138,138,Omanyte,Omanyte,omanyte,,True,138.png,Omanyte | omanyte
139,139,Omastar,Omastar,omastar,,True,139.png,Omastar | omastar
140,140,Kabuto,Kabuto,kabuto,,True,140.png,Kabuto | kabuto
141,141,Kabutops,Kabutops,kabutops,,True,141.png,Kabutops | kabutops
142,142,Aerodactyl,Aerodactyl,aerodactyl,,True,142.png,Aerodactyl | aerodactyl
143,143,Snorlax,Snorlax,snorlax,,True,143.png,Snorlax | snorlax
144,144,Articuno,Articuno,articuno,,True,144.png,Articuno | articuno
145,145,Zapdos,Zapdos,zapdos,,True,145.png,Zapdos | zapdos
146,146,Moltres,Moltres,moltres,,True,146.png,Moltres | moltres
147,147,Dratini,Dratini,dratini,,True,147.png,Dratini | dratini
148,148,Dragonair,Dragonair,dragonair,,True,148.png,Dragonair | dragonair
149,149,Dragonite,Dragonite,dragonite,,True,149.png,Dragonite | dragonite
150,150,Mewtwo,Mewtwo,mewtwo,,True,150.png,Mewtwo | mewtwo
151,151,Mew,Mew,mew,,True,151.png,Mew | mew
152,152,Chikorita,Chikorita,chikorita,,True,152.png,Chikorita | chikorita
153,153,Bayleef,Bayleef,bayleef,,True,153.png,Bayleef | bayleef
154,154,Meganium,Meganium,meganium,,True,154.png,Meganium | meganium
155,155,Cyndaquil,Cyndaquil,cyndaquil,,True,155.png,Cyndaquil | cyndaquil
156,156,Quilava,Quilava,quilava,,True,156.png,Quilava | quilava
157,157,Typhlosion,Typhlosion,typhlosion,,True,157.png,Typhlosion | typhlosion
158,158,Totodile,Totodile,totodile,,True,158.png,Totodile | totodile
159,159,Croconaw,Croconaw,croconaw,,True,159.png,Croconaw | croconaw
160,160,Feraligatr,Feraligatr,feraligatr,,True,160.png,Feraligatr | feraligatr
161,161,Sentret,Sentret,sentret,,True,161.png,Sentret | sentret
162,162,Furret,Furret,furret,,True,162.png,Furret | furret
163,163,Hoothoot,Hoothoot,hoothoot,,True,163.png,Hoothoot | hoothoot
164,164,Noctowl,Noctowl,noctowl,,True,164.png,Noctowl | noctowl
165,165,Ledyba,Ledyba,ledyba,,True,165.png,Ledyba | ledyba
166,166,Ledian,Ledian,ledian,,True,166.png,Ledian | ledian
167,167,Spinarak,Spinarak,spinarak,,True,167.png,Spinarak | spinarak
168,168,Ariados,Ariados,ariados,,True,168.png,Ariados | ariados
169,169,Crobat,Crobat,crobat,,True,169.png,Crobat | crobat
170,170,Chinchou,Chinchou,chinchou,,True,170.png,Chinchou | chinchou
171,171,Lanturn,Lanturn,lanturn,,True,171.png,Lanturn | lanturn
172,172,Pichu,Pichu,pichu,,True,172.png,Pichu | pichu
173,173,Cleffa,Cleffa,cleffa,,True,173.png,Cleffa | cleffa
174,174,Igglybuff,Igglybuff,igglybuff,,True,174.png,Igglybuff | igglybuff
175,175,Togepi,Togepi,togepi,,True,175.png,Togepi | togepi
176,176,Togetic,Togetic,togetic,,True,176.png,Togetic | togetic
177,177,Natu,Natu,natu,,True,177.png,Natu | natu
178,178,Xatu,Xatu,xatu,,True,178.png,Xatu | xatu
179,179,Mareep,Mareep,mareep,,True,179.png,Mareep | mareep
180,180,Flaaffy,Flaaffy,flaaffy,,True,180.png,Flaaffy | flaaffy
181,181,Ampharos,Ampharos,ampharos,,True,181.png,Ampharos | ampharos
182,182,Bellossom,Bellossom,bellossom,,True,182.png,Bellossom | bellossom
183,183,Marill,Marill,marill,,True,183.png,Marill | marill
184,184,Azumarill,Azumarill,azumarill,,True,184.png,Azumarill | azumarill
185,185,Sudowoodo,Sudowoodo,sudowoodo,,True,185.png,Sudowoodo | sudowoodo
186,186,Politoed,Politoed,politoed,,True,186.png,Politoed | politoed
187,187,Hoppip,Hoppip,hoppip,,True,187.png,Hoppip | hoppip
188,188,Skiploom,Skiploom,skiploom,,True,188.png,Skiploom | skiploom
189,189,Jumpluff,Jumpluff,jumpluff,,True,189.png,Jumpluff | jumpluff
190,190,Aipom,Aipom,aipom,,True,190.png,Aipom | aipom
191,191,Sunkern,Sunkern,sunkern,,True,191.png,Sunkern | sunkern
192,192,Sunflora,Sunflora,sunflora,,True,192.png,Sunflora | sunflora
193,193,Yanma,Yanma,yanma,,True,193.png,Yanma | yanma
194,194,Wooper,Wooper,wooper,,True,194.png,Wooper | wooper
195,195,Quagsire,Quagsire,quagsire,,True,195.png,Quagsire | quagsire
196,196,Espeon,Espeon,espeon,,True,196.png,Espeon | espeon
197,197,Umbreon,Umbreon,umbreon,,True,197.png,Umbreon | umbreon
198,198,Murkrow,Murkrow,murkrow,,True,198.png,Murkrow | murkrow
199,199,Slowking,Slowking,slowking,,True,199.png,Slowking | slowking
200,200,Misdreavus,Misdreavus,misdreavus,,True,200.png,Misdreavus | misdreavus
201,201,Unown,Unown,unown,,True,201.png,Unown | unown
202,202,Wobbuffet,Wobbuffet,wobbuffet,,True,202.png,Wobbuffet | wobbuffet
203,203,Girafarig,Girafarig,girafarig,,True,203.png,Girafarig | girafarig
204,204,Pineco,Pineco,pineco,,True,204.png,Pineco | pineco
205,205,Forretress,Forretress,forretress,,True,205.png,Forretress | forretress
206,206,Dunsparce,Dunsparce,dunsparce,,True,206.png,Dunsparce | dunsparce
207,207,Gligar,Gligar,gligar,,True,207.png,Gligar | gligar
208,208,Steelix,Steelix,steelix,,True,208.png,Steelix | steelix
209,209,Snubbull,Snubbull,snubbull,,True,209.png,Snubbull | snubbull
210,210,Granbull,Granbull,granbull,,True,210.png,Granbull | granbull
211,211,Qwilfish,Qwilfish,qwilfish,,True,211.png,Qwilfish | qwilfish
212,212,Scizor,Scizor,scizor,,True,212.png,Scizor | scizor
213,213,Shuckle,Shuckle,shuckle,,True,213.png,Shuckle | shuckle
214,214,Heracross,Heracross,heracross,,True,214.png,Heracross | heracross
215,215,Sneasel,Sneasel,sneasel,,True,215.png,Sneasel | sneasel
216,216,Teddiursa,Teddiursa,teddiursa,,True,216.png,Teddiursa | teddiursa
217,217,Ursaring,Ursaring,ursaring,,True,217.png,Ursaring | ursaring
218,218,Slugma,Slugma,slugma,,True,218.png,Slugma | slugma
219,219,Magcargo,Magcargo,magcargo,,True,219.png,Magcargo | magcargo
220,220,Swinub,Swinub,swinub,,True,220.png,Swinub | swinub
221,221,Piloswine,Piloswine,piloswine,,True,221.png,Piloswine | piloswine
222,222,Corsola,Corsola,corsola,,True,222.png,Corsola | corsola
223,223,Remoraid,Remoraid,remoraid,,True,223.png,Remoraid | remoraid
224,224,Octillery,Octillery,octillery,,True,224.png,Octillery | octillery
225,225,Delibird,Delibird,delibird,,True,225.png,Delibird | delibird
226,226,Mantine,Mantine,mantine,,True,226.png,Mantine | mantine
227,227,Skarmory,Skarmory,skarmory,,True,227.png,Skarmory | skarmory
228,228,Houndour,Houndour,houndour,,True,228.png,Houndour | houndour
229,229,Houndoom,Houndoom,houndoom,,True,229.png,Houndoom | houndoom
230,230,Kingdra,Kingdra,kingdra,,True,230.png,Kingdra | kingdra
231,231,Phanpy,Phanpy,phanpy,,True,231.png,Phanpy | phanpy
232,232,Donphan,Donphan,donphan,,True,232.png,Donphan | donphan
233,233,Porygon2,Porygon2,porygon2,,True,233.png,Porygon2 | porygon2
234,234,Stantler,Stantler,stantler,,True,234.png,Stantler | stantler
235,235,Smeargle,Smeargle,smeargle,,True,235.png,Smeargle | smeargle
236,236,Tyrogue,Tyrogue,tyrogue,,True,236.png,Tyrogue | tyrogue
237,237,Hitmontop,Hitmontop,hitmontop,,True,237.png,Hitmontop | hitmontop
238,238,Smoochum,Smoochum,smoochum,,True,238.png,Smoochum | smoochum
239,239,Elekid,Elekid,elekid,,True,239.png,Elekid | elekid
240,240,Magby,Magby,magby,,True,240.png,Magby | magby
241,241,Miltank,Miltank,miltank,,True,241.png,Miltank | miltank
242,242,Blissey,Blissey,blissey,,True,242.png,Blissey | blissey
243,243,Raikou,Raikou,raikou,,True,243.png,Raikou | raikou
244,244,Entei,Entei,entei,,True,244.png,Entei | entei
245,245,Suicune,Suicune,suicune,,True,245.png,Suicune | suicune
246,246,Larvitar,Larvitar,larvitar,,True,246.png,Larvitar | larvitar
247,247,Pupitar,Pupitar,pupitar,,True,247.png,Pupitar | pupitar
248,248,Tyranitar,Tyranitar,tyranitar,,True,248.png,Tyranitar | tyranitar
249,249,Lugia,Lugia,lugia,,True,249.png,Lugia | lugia
250,250,Ho-Oh,Ho-Oh,ho-oh,,True,250.png,Ho Oh | Ho-Oh | ho oh | ho-oh
251,251,Celebi,Celebi,celebi,,True,251.png,Celebi | celebi
252,252,Treecko,Treecko,treecko,,True,252.png,Treecko | treecko
253,253,Grovyle,Grovyle,grovyle,,True,253.png,Grovyle | grovyle
254,254,Sceptile,Sceptile,sceptile,,True,254.png,Sceptile | sceptile
255,255,Torchic,Torchic,torchic,,True,255.png,Torchic | torchic
256,256,Combusken,Combusken,combusken,,True,256.png,Combusken | combusken
257,257,Blaziken,Blaziken,blaziken,,True,257.png,Blaziken | blaziken
258,258,Mudkip,Mudkip,mudkip,,True,258.png,Mudkip | mudkip
259,259,Marshtomp,Marshtomp,marshtomp,,True,259.png,Marshtomp | marshtomp
260,260,Swampert,Swampert,swampert,,True,260.png,Swampert | swampert
261,261,Poochyena,Poochyena,poochyena,,True,261.png,Poochyena | poochyena
262,262,Mightyena,Mightyena,mightyena,,True,262.png,Mightyena | mightyena
263,263,Zigzagoon,Zigzagoon,zigzagoon,,True,263.png,Zigzagoon | zigzagoon
264,264,Linoone,Linoone,linoone,,True,264.png,Linoone | linoone
265,265,Wurmple,Wurmple,wurmple,,True,265.png,Wurmple | wurmple
266,266,Silcoon,Silcoon,silcoon,,True,266.png,Silcoon | silcoon
267,267,Beautifly,Beautifly,beautifly,,True,267.png,Beautifly | beautifly
268,268,Cascoon,Cascoon,cascoon,,True,268.png,Cascoon | cascoon
269,269,Dustox,Dustox,dustox,,True,269.png,Dustox | dustox
270,270,Lotad,Lotad,lotad,,True,270.png,Lotad | lotad
271,271,Lombre,Lombre,lombre,,True,271.png,Lombre | lombre
272,272,Ludicolo,Ludicolo,ludicolo,,True,272.png,Ludicolo | ludicolo
273,273,Seedot,Seedot,seedot,,True,273.png,Seedot | seedot
274,274,Nuzleaf,Nuzleaf,nuzleaf,,True,274.png,Nuzleaf | nuzleaf
275,275,Shiftry,Shiftry,shiftry,,True,275.png,Shiftry | shiftry
276,276,Taillow,Taillow,taillow,,True,276.png,Taillow | taillow
277,277,Swellow,Swellow,swellow,,True,277.png,Swellow | swellow
278,278,Wingull,Wingull,wingull,,True,278.png,Wingull | wingull
279,279,Pelipper,Pelipper,pelipper,,True,279.png,Pelipper | pelipper
280,280,Ralts,Ralts,ralts,,True,280.png,Ralts | ralts
281,281,Kirlia,Kirlia,kirlia,,True,281.png,Kirlia | kirlia
282,282,Gardevoir,Gardevoir,gardevoir,,True,282.png,Gardevoir | gardevoir
283,283,Surskit,Surskit,surskit,,True,283.png,Surskit | surskit
284,284,Masquerain,Masquerain,masquerain,,True,284.png,Masquerain | masquerain
285,285,Shroomish,Shroomish,shroomish,,True,285.png,Shroomish | shroomish
286,286,Breloom,Breloom,breloom,,True,286.png,Breloom | breloom
287,287,Slakoth,Slakoth,slakoth,,True,287.png,Slakoth | slakoth
288,288,Vigoroth,Vigoroth,vigoroth,,True,288.png,Vigoroth | vigoroth
289,289,Slaking,Slaking,slaking,,True,289.png,Slaking | slaking
290,290,Nincada,Nincada,nincada,,True,290.png,Nincada | nincada
291,291,Ninjask,Ninjask,ninjask,,True,291.png,Ninjask | ninjask
292,292,Shedinja,Shedinja,shedinja,,True,292.png,Shedinja | shedinja
293,293,Whismur,Whismur,whismur,,True,293.png,Whismur | whismur
294,294,Loudred,Loudred,loudred,,True,294.png,Loudred | loudred
295,295,Exploud,Exploud,exploud,,True,295.png,Exploud | exploud
296,296,Makuhita,Makuhita,makuhita,,True,296.png,Makuhita | makuhita
297,297,Hariyama,Hariyama,hariyama,,True,297.png,Hariyama | hariyama
298,298,Azurill,Azurill,azurill,,True,298.png,Azurill | azurill
299,299,Nosepass,Nosepass,nosepass,,True,299.png,Nosepass | nosepass
300,300,Skitty,Skitty,skitty,,True,300.png,Skitty | skitty
301,301,Delcatty,Delcatty,delcatty,,True,301.png,Delcatty | delcatty
302,302,Sableye,Sableye,sableye,,True,302.png,Sableye | sableye
303,303,Mawile,Mawile,mawile,,True,303.png,Mawile | mawile
304,304,Aron,Aron,aron,,True,304.png,Aron | aron
305,305,Lairon,Lairon,lairon,,True,305.png,Lairon | lairon
306,306,Aggron,Aggron,aggron,,True,306.png,Aggron | aggron
307,307,Meditite,Meditite,meditite,,True,307.png,Meditite | meditite
308,308,Medicham,Medicham,medicham,,True,308.png,Medicham | medicham
309,309,Electrike,Electrike,electrike,,True,309.png,Electrike | electrike
310,310,Manectric,Manectric,manectric,,True,310.png,Manectric | manectric
311,311,Plusle,Plusle,plusle,,True,311.png,Plusle | plusle
312,312,Minun,Minun,minun,,True,312.png,Minun | minun
313,313,Volbeat,Volbeat,volbeat,,True,313.png,Volbeat | volbeat
314,314,Illumise,Illumise,illumise,,True,314.png,Illumise | illumise
315,315,Roselia,Roselia,roselia,,True,315.png,Roselia | roselia
316,316,Gulpin,Gulpin,gulpin,,True,316.png,Gulpin | gulpin
317,317,Swalot,Swalot,swalot,,True,317.png,Swalot | swalot
318,318,Carvanha,Carvanha,carvanha,,True,318.png,Carvanha | carvanha
319,319,Sharpedo,Sharpedo,sharpedo,,True,319.png,Sharpedo | sharpedo
320,320,Wailmer,Wailmer,wailmer,,True,320.png,Wailmer | wailmer
321,321,Wailord,Wailord,wailord,,True,321.png,Wailord | wailord
322,322,Numel,Numel,numel,,True,322.png,Numel | numel
323,323,Camerupt,Camerupt,camerupt,,True,323.png,Camerupt | camerupt
324,324,Torkoal,Torkoal,torkoal,,True,324.png,Torkoal | torkoal
325,325,Spoink,Spoink,spoink,,True,325.png,Spoink | spoink
326,326,Grumpig,Grumpig,grumpig,,True,326.png,Grumpig | grumpig
327,327,Spinda,Spinda,spinda,,True,327.png,Spinda | spinda
328,328,Trapinch,Trapinch,trapinch,,True,328.png,Trapinch | trapinch
329,329,Vibrava,Vibrava,vibrava,,True,329.png,Vibrava | vibrava
330,330,Flygon,Flygon,flygon,,True,330.png,Flygon | flygon
331,331,Cacnea,Cacnea,cacnea,,True,331.png,Cacnea | cacnea
332,332,Cacturne,Cacturne,cacturne,,True,332.png,Cacturne | cacturne
333,333,Swablu,Swablu,swablu,,True,333.png,Swablu | swablu
334,334,Altaria,Altaria,altaria,,True,334.png,Altaria | altaria
335,335,Zangoose,Zangoose,zangoose,,True,335.png,Zangoose | zangoose
336,336,Seviper,Seviper,seviper,,True,336.png,Seviper | seviper
337,337,Lunatone,Lunatone,lunatone,,True,337.png,Lunatone | lunatone
338,338,Solrock,Solrock,solrock,,True,338.png,Solrock | solrock
339,339,Barboach,Barboach,barboach,,True,339.png,Barboach | barboach
340,340,Whiscash,Whiscash,whiscash,,True,340.png,Whiscash | whiscash
341,341,Corphish,Corphish,corphish,,True,341.png,Corphish | corphish
342,342,Crawdaunt,Crawdaunt,crawdaunt,,True,342.png,Crawdaunt | crawdaunt
343,343,Baltoy,Baltoy,baltoy,,True,343.png,Baltoy | baltoy
344,344,Claydol,Claydol,claydol,,True,344.png,Claydol | claydol
345,345,Lileep,Lileep,lileep,,True,345.png,Lileep | lileep
346,346,Cradily,Cradily,cradily,,True,346.png,Cradily | cradily
347,347,Anorith,Anorith,anorith,,True,347.png,Anorith | anorith
348,348,Armaldo,Armaldo,armaldo,,True,348.png,Armaldo | armaldo
349,349,Feebas,Feebas,feebas,,True,349.png,Feebas | feebas
350,350,Milotic,Milotic,milotic,,True,350.png,Milotic | milotic
351,351,Castform,Castform,castform,,True,351.png,Castform | castform
352,352,Kecleon,Kecleon,kecleon,,True,352.png,Kecleon | kecleon
353,353,Shuppet,Shuppet,shuppet,,True,353.png,Shuppet | shuppet
354,354,Banette,Banette,banette,,True,354.png,Banette | banette
355,355,Duskull,Duskull,duskull,,True,355.png,Duskull | duskull
356,356,Dusclops,Dusclops,dusclops,,True,356.png,Dusclops | dusclops
357,357,Tropius,Tropius,tropius,,True,357.png,Tropius | tropius
358,358,Chimecho,Chimecho,chimecho,,True,358.png,Chimecho | chimecho
359,359,Absol,Absol,absol,,True,359.png,Absol | absol
360,360,Wynaut,Wynaut,wynaut,,True,360.png,Wynaut | wynaut
361,361,Snorunt,Snorunt,snorunt,,True,361.png,Snorunt | snorunt
362,362,Glalie,Glalie,glalie,,True,362.png,Glalie | glalie
363,363,Spheal,Spheal,spheal,,True,363.png,Spheal | spheal
364,364,Sealeo,Sealeo,sealeo,,True,364.png,Sealeo | sealeo
365,365,Walrein,Walrein,walrein,,True,365.png,Walrein | walrein
366,366,Clamperl,Clamperl,clamperl,,True,366.png,Clamperl | clamperl
367,367,Huntail,Huntail,huntail,,True,367.png,Huntail | huntail
368,368,Gorebyss,Gorebyss,gorebyss,,True,368.png,Gorebyss | gorebyss
369,369,Relicanth,Relicanth,relicanth,,True,369.png,Relicanth | relicanth
370,370,Luvdisc,Luvdisc,luvdisc,,True,370.png,Luvdisc | luvdisc
371,371,Bagon,Bagon,bagon,,True,371.png,Bagon | bagon
